user_id,vin,start_time,lon1,lat1,end_time,lon2,lat2,client_app_id,connect_duration
130208092578131246,LGWFF7A55MJ093536,2024-10-24 18:07:05,,,2024-10-24 18:13:06,,,4,361
130208092578131246,LGWFF7A55MJ093536,2024-10-24 18:13:07,,,2024-10-24 18:16:43,,,4,215
130208092578131246,LGWFF7A55MJ093536,2024-10-24 18:16:43,,,2024-10-24 18:19:01,,,4,138
130208092578131246,LGWFF7A55MJ093536,2024-10-28 06:52:38,,,2024-10-28 06:55:32,,,4,173
130208092578131246,LGWFF7A55MJ093536,2024-10-28 06:55:32,,,2024-10-28 07:03:47,,,4,494
130208092578131246,LGWFF7A55MJ093536,2024-10-28 07:03:48,,,2024-10-28 07:04:38,,,4,49
130208092578131246,LGWFF7A55MJ093536,2024-10-28 07:04:38,,,2024-10-28 07:09:27,,,4,289
130208092578131246,LGWFF7A55MJ093536,2024-10-28 19:52:04,,,2024-10-28 20:00:40,,,4,516
130208092578131246,LGWFF7A55MJ093536,2024-12-17 16:08:58,,,2024-12-17 16:10:03,,,4,65
130208092578131246,LGWFF7A55MJ093536,2024-12-17 16:10:03,,,2024-12-17 16:10:03,,,4,0
130208092578131246,LGWFF7A55MJ093536,2024-12-17 16:10:05,,,2024-12-17 16:14:18,,,4,253
130208092578131246,LGWFF7A55MJ093536,2024-12-17 16:14:18,,,2024-12-17 16:25:52,,,4,694
130208092578131246,LGWFF7A55MJ093536,2024-12-17 16:31:25,,,2024-12-17 16:33:20,,,4,115
130208092578131246,LGWFF7A55MJ093536,2024-12-17 17:14:59,,,2024-12-17 17:14:59,,,4,0
130208092578131246,LGWFF7A55MJ093536,2024-12-17 17:15:02,,,2024-12-17 17:15:08,,,4,6
130208092578131246,LGWFF7A55MJ093536,2024-12-17 17:15:11,,,2024-12-17 17:26:37,,,4,685
130208092578131246,LGWFF7A55MJ093536,2024-12-17 18:30:43,,,2024-12-17 18:47:32,,,4,1009
130208092578131246,LGWFF7A55MJ093536,2024-12-18 06:47:06,,,2024-12-18 07:08:10,,,4,1263
130208092578131246,LGWFF7A55MJ093536,2024-12-18 19:04:51,,,2024-12-18 19:31:37,,,4,1605
130208092578131246,LGWFF7A55MJ093536,2024-12-19 06:37:43,,,2024-12-19 06:52:20,,,4,877
130208092578131246,LGWFF7A55MJ093536,2024-12-19 06:52:22,,,2024-12-19 07:08:06,,,4,944
130208092578131246,LGWFF7A55MJ093536,2024-12-19 10:41:56,,,2024-12-19 10:44:59,,,4,182
130208092578131246,LGWFF7A55MJ093536,2024-12-19 10:44:59,,,2024-12-19 10:50:36,,,4,336
130208092578131246,LGWFF7A55MJ093536,2024-12-19 20:11:04,,,2024-12-19 20:21:33,,,4,628
130208092578131246,LGWFF7A55MJ093536,2024-12-20 06:46:17,,,2024-12-20 07:19:18,,,4,1980
